age,hh_fthr_frm,hh_size96,hh_land,landrich,hh_cattle,hh_stock,hh_plow_any,fthr_ed0,fthr_ed,mthr_ed0,mthr_ed,no_fthr96,no_mthr96,orphan96,abd,vote05
19,0,15,8,0,0,19,1,0,7,1,0,1,0,0,1,0
30,1,2,100,1,0,6,1,1,0,1,0,1,0,0,1,1
17,1,10,7,0,0,17,1,0,4,1,0,1,0,0,0,0
25,1,10,3,0,0,0,0,0,4,1,0,1,0,0,1,1
30,0,10,5,0,0,12,1,0,15,0,7,0,0,0,0,1
14,1,9,20,0,2,4,1,0,4,0,4,0,0,0,1,NA
29,1,20,20,0,15,18,1,0,7,0,4,0,0,0,1,1
18,1,6,2,0,0,2,0,0,4,1,0,0,0,0,1,1
16,1,6,16,0,0,7,0,0,4,0,4,0,0,0,1,NA
15,1,9,37.04999924,0,0,0,0,0,4,1,0,0,0,0,1,NA
29,1,9,37.04999924,0,0,0,0,0,4,1,0,0,1,0,0,1
30,1,5,17.29000092,0,0,0,0,1,0,1,0,1,0,0,0,1
28,1,2,9.880000114,0,0,8,0,1,0,1,0,0,0,0,1,0
25,0,11,20,0,2,20,1,0,10,0,4,1,0,0,1,1
19,1,10,15,0,0,37,1,0,4,1,0,0,0,0,1,0
21,1,10,15,0,0,37,1,0,7,0,7,0,0,0,1,1
29,1,12,99,1,0,0,0,0,4,1,0,0,0,0,1,1
14,1,7,10,0,0,7,0,0,4,1,0,0,0,0,0,NA
14,0,7,100,1,0,3,0,0,10,1,0,0,0,0,1,NA
25,1,9,20,0,0,0,0,0,7,0,4,0,0,0,1,0
20,1,8,8,0,0,0,0,0,4,1,0,0,0,0,1,0
22,1,8,45,0,39,8,1,0,10,1,0,0,0,0,1,1
21,1,17,10,0,100,70,1,0,10,1,0,0,0,0,0,1
16,1,5,98.80000305,1,0,0,1,0,4,1,0,0,0,0,0,NA
14,1,7,0,0,0,0,0,0,10,0,7,1,0,0,1,NA
14,1,12,15,0,17,20,1,1,0,1,0,0,0,0,0,NA
30,1,6,6,0,0,2,0,0,4,1,0,0,0,0,1,1
25,1,2,3,0,0,2,0,0,7,0,4,0,0,0,1,1
25,1,5,10,0,0,0,0,0,4,1,0,0,0,0,1,0
25,1,7,9,0,0,4,0,0,4,1,0,0,0,0,1,1
29,1,8,15,0,0,0,0,0,4,1,0,1,1,1,1,1
25,1,8,15,0,0,0,0,0,4,1,0,1,1,1,1,1
29,1,4,12,0,0,3,0,0,4,1,0,0,0,0,1,1
28,1,6,2,0,0,0,0,1,0,0,7,1,0,0,0,0
18,1,5,7,0,20,15,1,0,7,1,0,0,0,0,1,0
28,1,17,10,0,100,70,1,0,10,1,0,0,0,0,0,1
15,1,5,49.40000153,0,0,0,0,1,0,1,0,0,0,0,1,NA
18,1,6,40,0,3,23,1,0,4,1,0,0,0,0,0,1
26,1,7,29.63999939,0,0,0,0,0,4,0,4,0,0,0,1,1
22,1,5,24,0,0,0,0,0,7,0,4,0,1,0,1,0
25,1,5,0.035590708,0,10,12,1,1,0,1,0,1,0,0,1,1
15,1,18,100,1,0,24,1,0,4,1,0,0,0,0,1,NA
25,1,18,100,1,0,24,1,0,4,1,0,0,1,0,1,NA
20,1,9,19.76000023,0,0,18,0,0,4,1,0,0,0,0,0,1
30,1,10,10,0,50,55,1,0,10,1,0,0,0,0,1,1
16,1,5,6,0,210,20,1,0,7,1,0,0,0,0,1,NA
15,0,8,7,0,400,60,1,0,7,1,0,1,0,0,1,NA
21,0,8,7,0,400,60,1,0,7,0,4,0,0,0,0,0
22,1,19,10,0,0,14,0,0,10,0,7,1,0,0,0,1
21,1,7,6,0,0,6,1,0,4,1,0,1,1,1,1,0
14,1,6,6,0,0,6,1,0,7,0,4,0,0,0,1,NA
22,1,5,2,0,10,15,1,1,0,1,0,1,0,0,1,1
20,1,14,74.09999847,1,0,0,0,0,4,1,0,0,0,0,1,0
16,0,19,30,0,0,46,1,0,4,0,4,0,0,0,1,NA
30,1,5,49.40000153,0,0,0,1,0,4,1,0,0,0,0,1,1
22,1,10,15,0,0,3,0,0,4,0,7,1,0,0,1,0
14,1,7,5,0,0,0,0,0,7,1,0,1,1,1,1,NA
23,1,7,5,0,0,0,0,0,7,0,4,1,0,0,0,1
19,1,4,9.880000114,0,0,0,0,1,0,1,0,0,0,0,1,0
20,1,9,2.470000029,0,0,2,0,0,7,0,4,1,0,0,1,1
17,1,5,100,1,0,0,0,0,4,1,0,0,0,0,1,NA
30,1,5,100,1,0,0,0,0,7,1,0,1,1,1,1,1
28,1,6,20,0,0,0,0,1,0,1,0,1,0,0,1,1
21,1,9,100,1,30,14,1,1,0,1,0,1,0,0,1,0
28,1,3,24.70000076,0,0,0,0,0,4,0,4,0,0,0,1,1
16,1,8,36,0,0,0,0,0,4,1,0,0,1,0,1,NA
19,1,9,100,1,0,0,0,0,7,1,0,1,0,0,0,0
26,0,7,70,1,0,15,1,0,4,1,0,0,0,0,1,1
25,1,8,24.70000076,0,30,6,1,0,10,0,7,1,1,1,0,1
16,1,5,8,0,12,8,1,1,0,1,0,0,0,0,0,NA
18,1,3,99,1,0,0,0,0,7,1,0,1,0,0,1,0
21,0,8,5,0,0,0,0,0,7,1,0,0,0,0,1,1
14,1,5,61.75,1,0,0,0,0,4,0,4,1,0,0,1,NA
19,1,6,17.29000092,0,0,0,0,0,4,1,0,0,0,0,0,0
19,1,6,17.29000092,0,0,0,0,0,10,1,0,0,0,0,1,1
27,1,6,10,0,0,0,0,1,0,1,0,1,0,0,1,0
30,1,10,15,0,0,3,0,0,10,1,0,1,0,0,1,1
22,1,8,100,1,0,0,0,0,4,1,0,0,0,0,1,1
25,1,8,100,1,0,0,0,0,4,1,0,0,0,0,1,0
16,1,7,10,0,0,0,0,0,10,1,0,0,0,0,1,NA
18,1,6,6,0,9,6,0,0,15,0,4,1,1,1,0,0
18,1,5,6,0,2,5,1,0,4,1,0,0,0,0,1,0
30,1,4,10,0,0,0,0,1,0,1,0,0,0,0,1,0
22,1,6,10,0,0,2,0,0,4,1,0,1,0,0,1,0
25,1,7,6,0,0,0,0,0,4,1,0,0,0,0,1,0
20,1,4,1.482946157,0,0,18,0,0,10,1,0,1,0,0,1,1
25,1,8,50,1,0,1,0,0,7,0,7,0,0,0,0,0
18,0,7,100,1,0,3,0,0,10,0,4,0,0,0,1,0
14,1,9,14.8294611,0,0,20,0,0,10,1,0,0,0,0,1,NA
20,1,8,16,0,0,0,0,0,7,1,0,1,0,0,1,1
16,1,8,16,0,0,0,0,0,4,1,0,1,0,0,1,NA
25,1,4,100,1,0,0,0,0,4,0,4,0,1,0,1,1
20,1,11,99,1,15,30,1,0,4,0,7,1,1,1,1,0
16,1,18,100,1,52,50,1,0,7,0,4,1,0,0,1,NA
29,1,13,8,0,30,32,1,0,10,0,4,0,0,0,1,0
18,1,5,2,0,0,0,0,0,4,0,4,0,0,0,1,0
26,1,6,14.81999969,0,0,0,1,0,4,1,0,0,0,0,1,1
16,1,6,14.81999969,0,0,0,1,0,4,0,4,0,0,0,0,NA
17,1,7,10,0,0,0,0,1,0,1,0,0,0,0,1,NA
28,1,7,10,0,0,0,0,1,0,1,0,0,0,0,1,1
19,1,8,100,1,0,0,0,0,10,0,4,0,0,0,1,0
16,1,7,30,0,0,0,0,0,7,0,4,0,0,0,1,NA
15,1,7,49.40000153,0,2,50,1,0,7,1,0,1,0,0,1,NA
24,1,8,4.940000057,0,0,0,0,0,7,0,4,1,0,0,1,0
15,1,11,100,1,0,0,1,0,4,0,4,0,0,0,1,NA
16,1,5,12,0,0,12,0,1,0,1,0,1,0,0,1,NA
19,0,8,31,0,0,0,0,0,7,1,0,1,0,0,1,0
21,1,4,10,0,0,40,1,0,4,0,4,1,0,0,1,1
30,1,9,100,1,0,0,0,1,0,1,0,0,1,0,1,1
25,1,18,20,0,8,18,0,0,4,1,0,0,0,0,0,0
25,1,4,12.35000038,0,0,8,0,0,7,0,4,0,0,0,0,1
14,1,7,24.70000076,0,0,0,0,0,4,1,0,0,0,0,0,NA
20,1,7,24.70000076,0,0,0,0,0,4,1,0,0,0,0,0,0
15,1,5,10,0,0,0,0,0,4,0,4,0,0,0,0,NA
20,1,5,10,0,0,0,0,0,10,0,4,1,0,0,1,1
14,1,8,36,0,0,0,0,0,4,1,0,0,0,0,0,NA
20,0,14,50,1,0,200,1,0,10,1,0,0,0,0,1,1
23,1,8,20,0,42,50,1,0,10,0,10,0,1,0,1,1
16,1,14,6,0,0,0,0,0,7,0,4,1,0,0,0,NA
25,1,5,49.40000153,0,0,0,0,0,10,1,0,1,0,0,1,1
18,1,7,99,1,0,0,0,0,4,0,4,1,0,0,1,0
26,1,9,6,0,0,26,0,0,7,0,4,0,0,0,1,0
26,1,10,21,0,2,1,0,0,4,1,0,0,0,0,0,1
25,1,8,10,0,0,0,0,1,0,1,0,1,1,1,0,1
22,1,8,37.04999924,0,0,0,0,0,7,1,0,0,1,0,0,1
30,1,8,37.04999924,0,0,0,0,1,0,1,0,0,0,0,0,1
18,1,8,37.04999924,0,0,0,0,0,7,1,0,0,1,0,0,0
30,1,7,49.40000153,0,0,0,0,1,0,1,0,1,0,0,1,1
20,1,7,49.40000153,0,0,0,0,1,0,0,4,0,0,0,1,0
30,1,6,8,0,0,6,1,0,4,0,4,0,1,0,1,1
25,1,8,20,0,0,0,0,0,10,0,4,1,0,0,0,0
18,1,6,100,1,0,0,0,0,4,1,0,1,1,1,0,1
17,1,5,49.40000153,0,0,0,0,0,4,0,4,0,0,0,0,NA
30,1,3,20,0,5,15,1,0,4,1,0,0,0,0,1,0
26,1,6,15,0,0,0,0,1,0,1,0,0,0,0,1,1
18,1,5,34.58000183,0,0,0,0,0,4,1,0,1,1,1,0,0
